Category,Question,Answer
Burslar,Öğrenimim süresince hangi burslardan yararlanabilirim?,"Üniversiteye girişten itibaren ÖSYM, Sporcu, Başarı bursu, İhtiyaç bursundan ve IB, öğretmen çocuğu indirimi, kardeş ve mezun indiriminden yararlanabilirsiniz. "
Burslar,Burs almak için nereye ve ne zaman başvurmam gerekli?,"ÖSYM Bursları’ndan yararlanabilmek için üniversiteye girişte istediğiniz bölümün ÖSYM kılavuzundaki “ burslu” kodunu işaretlemeniz ve o bölüme ait puanı tutturmanız gerekir. Başarı bursuna 3. ve 4. sınıflarda hak kazanabilirsiniz. Bunun için hem okuduğunuz yıla ait ortalama hem kümülatif ortalamanızın aynı anda asgari 3,70 olması ve diğer başarı bursu kriterlerini de yerine getirmeniz gerekir. Başarı bursu için herhangi bir başvuru yapılması gerekmez. Kriterleri yerine getiren tüm öğrencilerimiz başarı bursundan yararlanmaya hak kazanır ve liste otomatik olarak belirlenir. İhtiyaç burslarına aktif öğrenci olarak bir (1) yılını tamamlayan öğrencilerimiz başvurabilir. Burs başvurusu için gerekli olan evraklar ve başvuruyla ilgili tüm bilgiler Haziran ayında www.bilgi.edu.tr sayfasından İhtiyaç Bursu başvuruları başlığıyla duyurulur. İhtiyaç bursu başvuruları elektronik olarak alınır. Bu burslar bir (1) yıllıktır ve yaz okulunu kapsamaz. İhtiyacın devam etmesi durumunda bir sonraki yıl güncel evraklarla başvurunun tekrarlanması gerekir."
Burslar,Aldığım burs kaç yıl için geçerli?,"Burs çeşitlerine göre kullanım süreleri aşağıdaki gibi değişir. ÖSYM Bursu: İngilizce Hazırlık Programı için 2 yıl ( Öğrenim dili ingilizce olan programlar için geçerli), lisans programları için 6 yıl, önlisans programları için 3 yıl geçerlidir. Yaz Okulu burs kapsamında değildir. Başarı Bursu: Genel not ortalaması ve son iki yarıyıl derslerinin not ortalaması 4.00 üzerinden asgari 3.70 olan 2. ve 3. sınıf öğrencileri bir yıl geçerli olmak üzere % 50 başarı bursu alır. Yaz Okulu burs kapsamında değildir. Spor Bursu: İstanbul Bilgi Üniversitesi’nin Üniversitelerarası Müsabakalara katılım sağladığı branşlarda milli takım seviyesine yükselmiş veya milli olmasa bile üniversite takımına seçildikten sonra yüksek performans göstermiş olan öğrencilere, Spor Koordinatörlüğü’nün teklifi ve Burs Komitesi’nin tespit edeceği oranlarda karşılıksız “sporcu bursu” verilebilir. Yaz Okulu burs kapsamında değildir. Sporcu bursu Hazırlık programlarında 2 yıl (Öğrenim dili ingilizce olan programlar için geçerlidir),  lisans programlarında 4 yıl, ön lisans programlarında 2 yıl geçerlidir ve yaz okulunu kapsamaz. Not ortalaması 2.00 altına düşerse kesilir. IB İndirimi: İngilizce Hazırlık Programı için 2 yıl ( Öğrenim dili ingilizce olan programlar için geçerlidir), lisans programları için 4 yıl, önlisans programları için 2 yıl geçerlidir. Yaz Okulu burs kapsamında değildir. İhtiyaç Bursu: Burs Komitesi kararıyla verilen ihtiyaç bursları bir (1) yıl geçerlidir. Bu indirim Yaz Okulu’nda geçerli değildir. Öğretmen indirimi: Anne veya babanız öğretmen ise hazırlık programında 2 yıl ( Öğrenim dili ingilizce olan programlar için geçerlidir), önlisans programında 3 yıl ve lisans programlarında 6 yıl %10 indirimden yararlanabilirsiniz. Bu indirim Yaz Okulu’nda geçerli değildir. Kardeş indirimi: İstanbul Bilgi Üniversitesi’nde okuyan veya mezun olmuş kardeşiniz varsa hazırlık programında 2 yıl ( Öğrenim dili ingilizce olan programlar için geçerlidir), önlisans programında 3 yıl ve lisans programlarında 6 yıl %10 kardeş indiriminden yararlanabilirsiniz. Bu indirim Yaz Okulu’nda geçerli değildir. Mezun indirimi: İstanbul Bilgi Üniversitesi’nin önlisans, lisans ve lisanüstü programlarından daha önce mezun olduysanız ve yeni bir programa kayıt olacaksanız %30 indirimden yararlanırsınız. Bu indirim Yaz Okulu’nda geçerli değildir."
Burslar,Hangi durumlarda bursum kesilir?," ÖSYM bursları not ortalamasına bağlı değildir. Dönem uzatma konumuna düşüldüğü zaman burslar kesilir.  Burs İngilizce Hazırlık Programı için 2 yıl ( Öğrenim dili ingilizce olan programlar için geçerlidir), lisans programlarında 6 yıl, önlisans programlarında 3 yıl geçerlidir. Belirtilen süreler aştığında ÖSYM bursları kesilir. Başarı Bursu kullanım süresi bir yıldır ve ilgili akademik yılın sonunda kesilir. Sporcu Bursu, disiplinsiz davranışlarda bulunan, keyfi olarak müsabaka ve antrenmanlara çıkmayan ve akademik yılın sonunda Genel Not Ortalaması 2,00’nin altında olan öğrencilerin bursu kesilir. IB indirimleri, İngilizce Hazırlık programı için 2 yıl (Öğrenim dili ingilizce olan programlar için geçerlidir), önlisans programlarında 2 yıl ve lisans programlarında 4 yıl geçerlidir. Bu süreler içinde Üniversiteyi bitiremez ve dönem uzatırsanız kesilir."
Burslar,Üniversite içinde yatay geçiş yaparsam bursum kesilir mi?," İç yatay geçiş yapmaya hak kazandıysanız ÖSYM bursunuzun da ayrıca değerlendirilmesi gerekir. Eğer sınava girdiğiniz yıl geçmek istediğiniz bölümün puan türünde aldığınız puan (burslu kontenjan için), aynı yıl programa yerleşen en düşük taban puana eşit veya yüksek ise ÖSYM bursunuz devam eder, aksi durumda ÖSYM bursu kesilir. İlgili yönetmelik gereği iç yatay geçiş yaptığı için ÖSYM bursunu kaybeden öğrencilerden Genel Not Ortalaması 4,00 üzerinden asgari 3,50 olanların bursları aynı oranda devam eder. "
Engelli Öğrenci Birimi,Engelli Öğrenci Birimi hangi konularda destek sağlamaktadır?,"Öğrencilerimizin engel durumuna göre, mümkün olan ve öncelikli ihtiyaçlara destek olmaktadır. Özel sınav ve ders koşullarının sağlanması, öğrencinin akademik takibi, fiziki erişim konusunda kolaylaştırıcı hizmetler ve ihtiyaç halinde fotokopi ve tarama desteği verilmektedir."
Engelli Öğrenci Birimi,Ben engelli bir öğrenciyim. Sınavlar ve derslerde nasıl bir destek alabilirim?,"Engelinizin raporunu ve talep ettiğiniz ihtiyacınızı dilekçenize yazarak Engelli Öğrenci Birimi’ne teslim etmeniz yeterlidir. Dilekçenizi bağlı olduğunuz Fakülte veya Yüksekokul yönetimine sunup size uygun kararın çıkması sağlanır. Örnek talepler arasında, sınav ek saat talebi, büyük fontlu sınav kağıdı basımını sayabiliriz."
Engelli Öğrenci Birimi,Ben engelli bir öğrenciyim. Kampüse ulaşımım için Üniversite’den destek alabilir miyim?, Üniversite kampüsleri arasında ulaşımınızı sağlayabiliriz. Evlerinizden kampüslere doğrudan ulaşım desteği veremiyoruz.
Engelli Öğrenci Birimi,Üniversitenin engelliler için ÖSYM bursu dışında özel burs imkânı var mı?,Engelli öğrencilerimize özel bir burs verilmiyor. Öğrenim gördüğünüz sırada üniversitenin sağladığı diğer burs imkânlarına başvurabilirsiniz.
Görevli Öğrenci Programı,Görevli Öğrenci Programı’na ne zaman başvurabilirim?, Her akademik yılın başında ve yaz aylarında (ayrıca ihtiyaç halinde de) web sayfamızda yayınlanan duyuruları takip ederek başvuru yapabilirsiniz. Ayrıca ara dönemlerde boşalan kadroların yerine değerlendirilmek üzere başvurular alınır. Lütfen ilanları takip ediniz.
